19980312    8178 S17E47   021  0100 HSX  01   01 A
19980312    8179 S24E36   032  0030 CRO  10   08 B
19980312    8180 S29E42   026  0010 BXO  05   05 B
19980312    8181 S20E48   020  0000 BXO  04   02 B
19980313    8173 S19W83   137  0010 BXO  04   03 B
19980313    8174 S17W44   098  0000 AXX  00   01 A
19980313    8175 N47W13   067  0000 AXX  00   01 A
19980313    8176 S40W07   061  0210 EAI  14   20 B
19980313    8178 S16E34   020  0110 HSX  02   01 A
19980313    8179 S22E22   032  0020 BXO  07   13 B
19980313    8180 S27E29   025  0010 BXO  07   06 B
19980314    8174 S17W58   099  0000 AXX  00   01 A
19980314    8175 N48W24   065  0010 AXX  01   01 A
19980314    8176 S39W22   063  0150 EAO  12   15 B
19980314    8178 S17E20   021  0110 HSX  02   01 A
19980314    8179 S22E08   033  0140 DAC  09   38 BG
19980314    8180 S30E19   022  0010 BXO  03   03 B
19980315    8175 N47W37   065  0000 AXX  00   01 A
19980315    8176 S38W34   062  0100 ESO  13   12 B
19980315    8178 S16E07   021  0130 HSX  02   01 A
19980315    8179 S22W04   032  0670 EKC  11   45 BGD
19980315    8180 S30E07   021  0000 AXX  00   01 A
19980316    8176 S40W42   060  0060 CAO  16   10 B
19980316    8178 S16W06   021  0130 HSX  03   02 A
19980316    8179 S22W17   032  0800 EKC  14   50 BG
19980317    8176 S40W53   055  0030 CRO  07   05 B
19980317    8178 S16W19   021  0100 HAX  03   02 A
19980317    8179 S22W30   032  0780 EKC  14   44 BG
19980318    8176 S40W63   052  0000 AXX  01   01 A
19980318    8178 S16W32   021  0080 HAX  02   02 A
19980318    8179 S21W44   033  0790 EKC  15   43 BG
19980318    8182 S22W58   047  0010 BXO  05   03 B
19980318    8183 N22E58   291  0050 CRO  03   03 B
19980319    8178 S17W45   020  0050 HAX  02   01 A
19980319    8179 S22W56   031  0720 EKI  15   29 BG
19980319    8182 S24W70   045  0030 CRO  06   04 B
19980319    8183 N22E44   291  0080 CRO  08   06 B
19980320    8178 S17W54   016  0060 HSX  02   01 A
19980320    8179 S22W69   031  0770 FKI  17   19 BG
19980320    8182 S25W82   044  0010 BXO  07   03 B
19980320    8183 N23E30   292  0020 BXO  08   13 B
19980320    8184 S18E46   276  0050 CSO  04   03 B
19980320    8185 S24E64   258  0000 AXX  00   01 A
19980321    8178 S17W71   020  0040 HSX  02   01 A
19980321    8179 S22W82   031  0590 FKI  17   10 B
19980321    8180 S29W71   020  0010 BXO  04   04 B
19980321    8183 N23E18   291  0050 BXO  09   11 B
19980321    8184 S19E33   276  0040 DSO  06   03 B
19980321    8185 S24E71   238  0080 CSO  12   06 B
19980322    8178 S15W83   019  0030 HSX  02   01 A
19980322    8179 S24W88   024  0290 DAO  10   06 B
19980322    8180 S28W85   021  0200 CAO  05   06 B
19980322    8183 N22E06   290  0040 DRO  08   10 B
19980322    8184 S20E20   276  0040 DSO  07   04 B
19980322    8185 S24E63   233  0350 FKI  16   15 B
19980322    8186 N09W24   320  0010 BXO  01   02 B
19980323    8183 N22W07   290  0090 DSO  08   08 B
19980323    8184 S20E06   277  0040 DSO  08   04 B
19980323    8185 S25E50   233  0510 FKC  18   18 BG
19980323    8187 S23W75   358  0010 BXO  03   02 B
19980324    8183 N22W21   290  0220 DSO  09   16 B
19980324    8184 S20W06   275  0020 BXO  08   05 B
19980324    8185 S24E37   232  0650 FKC  19   21 BG
19980324    8187 S23W87   356  0000 AXX  00   01 A
19980325    8183 N22W33   289  0190 DSO  09   10 B
19980325    8184 S21W17   273  0000 AXX  00   01 A
19980325    8185 S25E24   232  0580 FKC  20   27 BG
19980325    8188 N29E56   200  0000 AXX  00   01 A
19980326    8183 N21W48   291  0180 DAO  05   09 B
19980326    8185 S25E12   231  0530 FHC  22   37 BG
19980326    8188 N30E41   202  0010 AXX  00   01 A
19980327    8183 N22W62   292  0130 CAO  09   03 B
19980327    8185 S24W03   233  0480 FKC  25   31 BG
19980327    8188 N30E30   200  0000 AXX  00   01 A
19980327    8189 S26W17   247  0010 BXO  04   05 B
19980328    8183 N22W73   290  0110 CSO  05   05 B
19980328    8185 S26W15   232  0430 FKI  20   24 BG
19980328    8188 N30E19   198  0010 BXO  05   05 B
19980328    8189 S26W30   247  0030 CSO  07   07 B
19980329    8183 N21W86   289  0050 HSX  01   01 A
19980329    8185 S25W27   230  0450 FKO  20   18 BG
19980329    8188 N30E06   197  0020 BXO  05   03 B
19980329    8189 S26W43   246  0040 CSO  09   06 B
19980329    8190 S20E66   137  0090 DSO  08   04 B
19980330    8185 S25W39   229  0390 FKI  19   16 BG
19980330    8188 N30W10   200  0000 AXX  00   01 A
19980330    8189 S26W55   245  0020 BXO  09   04 B
19980330    8190 S20E56   134  0100 DSO  09   05 B
19980331    8185 S25W51   228  0480 FHI  20   16 BG
19980331    8189 S27W73   250  0000 AXX  00   01 A
19980331    8190 S22E36   141  0100 ESI  13   09 B
19980331    8191 S20E52   125  0030 CSO  04   05 B
19980401    8185 S25W64   228  0440 FHO  20   12 BG
19980401    8188 N29W33   197  0010 BXO  04   02 B
19980401    8190 S21E25   139  0230 EAI  12   21 BG
19980401    8191 S21E34   130  0030 CSO  05   03 B
19980401    8192 S33W42   206  0010 BXO  03   02 B
19980402    8185 S24W75   226  0290 FAO  16   03 B
19980402    8190 S19E10   141  0130 DAI  10   16 BG
19980402    8191 S19E21   130  0030 CSO  04   07 B
19980402    8192 S30W55   206  0020 AXX  01   01 A
19980403    8185 S25W85   223  0210 CAO  13   05 B
19980403    8190 S20W03   141  0140 CSO  11   18 B
19980403    8191 S20E09   129  0040 CSO  04   08 BG
19980403    8192 S32W68   206  0020 BXO  05   03 B
19980404    8185 S22W95   219  0070 AXX  01   01 A
19980404    8190 S20W17   141  0070 CSO  11   12 B
19980404    8191 S22W05   129  0030 BXO  05   10 B
19980404    8193 S22E42   082  0030 CSO  06   07 B
19980405    8190 S20W30   141  0060 CSO  10   08 B
19980405    8191 S21W19   130  0010 BXO  05   04 B
19980405    8193 S22E28   083  0250 DSI  09   16 B
19980405    8194 S18E71   040  0150 CSO  09   03 B
19980405    8195 S26E75   036  0030 AXX  02   01 A
19980406    8190 S20W48   146  0040 HSX  01   01 A
19980406    8191 S20W31   129  0010 BXO  04   04 B
19980406    8193 S22E14   084  0280 DKI  10   20 B
19980406    8194 S18E60   038  0260 DSO  09   05 B
19980406    8195 S27E62   036  0060 HAX  01   02 A
19980407    8190 S21W60   145  0030 HSX  02   01 A
19980407    8193 S23E02   083  0290 EAO  12   21 B
19980407    8194 S18E49   036  0310 DSO  10   05 B
