20140122   11960 S15E22   238  0270 Hkx  04   02 A
20140122   11961 S11W62   321  0050 Dso  05   05 B
20140122   11963 S06E44   214  0010 Bxo  04   03 B
20140122   11964 S13E40   219  0010 Axx  02   02 A
20140122   11965 S15E59   199  0020 Hrx  02   02 A
20140123   11952 S33W79   326  0030 Hsx  02   01 A
20140123   11955 S14W31   278  0020 Cao  02   02 B
20140123   11957 N11W32   279  0080 Dai  08   12 BG
20140123   11958 S08W05   252  0010 Hrx  02   02 A
20140123   11959 S24E09   238  0160 Cao  12   05 BG
20140123   11960 S16E10   237  0200 Hax  03   01 A
20140123   11961 S11W76   323  0030 Cso  05   03 B
20140123   11963 S06E34   213  0010 Axx  03   03 A
20140123   11965 S15E46   201  0020 Hrx  03   02 A
20140124   11952 S31W90   323  0030 Hsx  01   01 A
20140124   11955 S12W45   277  0020 Cao  02   04 B
20140124   11957 N12W46   278  0170 Eai  12   26 B
20140124   11958 S07W18   250  0010 Hrx  01   01 A
20140124   11959 S23W05   238  0180 Eao  11   11 B
20140124   11960 S16W03   236  0220 Cao  04   06 B
20140124   11961 S06W91   323  0030 Hsx  01   01 A
20140124   11963 S07E18   214  0010 Axx  02   08 A
20140124   11965 S16E31   201  0010 Axx  02   02 A
20140125   11955 S13W60   280  0020 Hax  01   02 A
20140125   11957 N11W61   281  0070 Cao  08   06 BG
20140125   11958 S07W31   251  0010 Bxo  03   03 B
20140125   11959 S23W20   240  0170 Dsi  10   11 B
20140125   11960 S16W17   237  0230 Cao  04   06 B
20140125   11965 S15E17   203  0000 Axx  01   01 A
20140125   11966 S12E27   193  0020 Cro  02   03 B
20140126   11955 S14W72   279  0020 Hrx  01   01 A
20140126   11957 N10W75   282  0030 Cao  05   04 B
20140126   11958 S08W45   252  0010 Bxo  03   02 B
20140126   11959 S24W33   239  0180 Dso  09   07 B
20140126   11960 S15W31   238  0200 Cao  04   08 B
20140126   11964 S14W14   221  0000 Axx  01   01 A
20140126   11965 S15E03   202  0010 Axx  01   01 A
20140126   11966 S12E13   194  0010 Bxo  03   05 B
20140127   11959 S24W45   238  0150 Dso  09   05 B
20140127   11960 S16W43   237  0150 Cao  03   04 B
20140127   11965 S14W10   203  0010 Axx  00   01 A
20140127   11967 S14E76   117  0120 Dso  06   01 B
20140127   11968 N10E75   119  0060 Dso  02   01 B
20140128   11959 S25W59   239  0140 Cso  10   06 B
20140128   11960 S16W56   236  0090 Dai  04   06 B
20140128   11967 S12E67   113  0580 Eki  15   13 BG
20140128   11968 N10E65   115  0100 Eao  12   05 B
20140129   11959 S23W75   242  0090 Hax  02   01 A
20140129   11960 S15W70   237  0070 Hsx  03   03 A
20140129   11965 S13W43   210  0020 Cro  02   02 B
20140129   11967 S14E55   111  0980 Fkc  18   29 BGD
20140129   11968 N09E54   112  0210 Eao  11   11 B
20140130   11959 S23W88   241  0060 Hax  02   01 A
20140130   11960 S15W82   235  0050 Hsx  02   02 A
20140130   11965 S15W56   210  0010 Bxo  02   05 B
20140130   11967 S14E41   112  1190 Fkc  19   42 BGD
20140130   11968 N09E41   112  0160 Eao  11   12 BG
20140131   11967 S14E29   112  1000 Fkc  18   49 BGD
20140131   11968 N10E29   112  0210 Eai  11   18 BG
20140201   11967 S13E16   112  1410 Fkc  18   86 BGD
20140201   11968 N10E15   113  0220 Eai  12   28 BG
20140201   11969 S10W35   163  0010 Bxo  03   03 B
20140202   11967 S13E01   114  1510 Fkc  18   94 BGD
20140202   11968 N10E03   112  0300 Ekc  13   35 BG
20140202   11970 S18E54   061  0080 Dao  04   04 B
20140203   11967 S13W12   114  1490 Fkc  18   88 BGD
20140203   11968 N10W09   110  0320 Ekc  14   33 BG
20140203   11969 S11W59   161  0030 Dro  04   03 B
20140203   11970 S20E40   060  0030 Dro  04   04 B
20140204   11967 S12W24   112  1580 Fkc  18   73 BGD
20140204   11968 N09W22   110  0330 Ekc  15   49 BG
20140204   11969 S11W73   161  0030 Dro  04   04 B
20140204   11970 S18E26   061  0020 Cro  03   04 B
20140204   11971 S11E59   029  0010 Bxo  04   03 B
20140205   11967 S12W38   113  1500 Fkc  19   82 BGD
20140205   11968 N09W36   111  0430 Ekc  13   49 BG
20140205   11969 S10W87   162  0010 Bxo  06   02 B
20140205   11970 S18E12   063  0020 Cro  04   06 B
20140205   11971 S12E43   032  0050 Cso  06   11 B
20140205   11972 S13W10   085  0000 Axx  01   01 A
20140205   11973 N06E63   012  0030 Cro  02   02 B
20140205   11974 S11E76   359  0040 Hsx  05   01 A
20140206   11967 S13W51   112  1570 Fkc  22   51 BGD
20140206   11968 N09W48   109  0740 Ekc  11   57 BG
20140206   11970 S17W02   063  0010 Axx  02   04 A
20140206   11971 S12E26   035  0100 Dso  05   20 B
20140206   11972 S12W31   088  0010 Bxo  02   02 B
20140206   11973 N06E51   010  0030 Cro  04   06 B
20140206   11974 S12E62   358  0170 Dso  08   13 B
20140207   11967 S13W64   112  1260 Fkc  22   52 BGD
20140207   11968 N13W59   107  0620 Ekc  11   56 BG
20140207   11970 S17W16   064  0010 Axx  01   01 A
20140207   11971 S12E12   036  0080 Dso  08   19 B
20140207   11972 S12W40   088  0030 Cso  06   06 B
20140207   11973 N05E37   011  0060 Dso  08   11 B
20140207   11974 S13E51   357  0210 Esc  15   26 BG
20140208   11967 S13W77   113  0830 Fkc  17   19 BGD
